station_nbr	record_date	mean_daily_flow_cfs	published_status	estimated	revised	download_date
11494950	10-01-2009	12   	Published			02-06-2015 11:42
11494950	10-02-2009	12   	Published			02-06-2015 11:42
11494950	10-03-2009	12   	Published			02-06-2015 11:42
11494950	10-04-2009	14   	Published			02-06-2015 11:42
11494950	10-05-2009	14   	Published			02-06-2015 11:42
11494950	10-06-2009	14   	Published			02-06-2015 11:42
11494950	10-07-2009	14   	Published			02-06-2015 11:42
11494950	10-08-2009	13   	Published			02-06-2015 11:42
11494950	10-09-2009	13   	Published			02-06-2015 11:42
11494950	10-10-2009	13   	Published			02-06-2015 11:42
11494950	10-11-2009	13   	Published			02-06-2015 11:42
11494950	10-12-2009	13   	Published			02-06-2015 11:42
11494950	10-13-2009	14   	Published			02-06-2015 11:42
11494950	10-14-2009	21   	Published			02-06-2015 11:42
11494950	10-15-2009	26   	Published			02-06-2015 11:42
11494950	10-16-2009	17   	Published			02-06-2015 11:42
11494950	10-17-2009	16   	Published			02-06-2015 11:42
11494950	10-18-2009	16   	Published			02-06-2015 11:42
11494950	10-19-2009	18   	Published			02-06-2015 11:42
11494950	10-20-2009	20   	Published			02-06-2015 11:42
11494950	10-21-2009	18   	Published			02-06-2015 11:42
11494950	10-22-2009	17   	Published			02-06-2015 11:42
11494950	10-23-2009	18   	Published			02-06-2015 11:42
11494950	10-24-2009	18   	Published			02-06-2015 11:42
11494950	10-25-2009	18   	Published			02-06-2015 11:42
11494950	10-26-2009	18   	Published			02-06-2015 11:42
11494950	10-27-2009	20   	Published			02-06-2015 11:42
11494950	10-28-2009	20   	Published			02-06-2015 11:42
11494950	10-29-2009	20   	Published			02-06-2015 11:42
11494950	10-30-2009	21   	Published			02-06-2015 11:42
11494950	10-31-2009	20   	Published			02-06-2015 11:42
11494950	11-01-2009	20   	Published			02-06-2015 11:42
11494950	11-02-2009	19   	Published			02-06-2015 11:42
11494950	11-03-2009	19   	Published			02-06-2015 11:42
11494950	11-04-2009	19   	Published			02-06-2015 11:42
11494950	11-05-2009	19   	Published			02-06-2015 11:42
11494950	11-06-2009	23   	Published			02-06-2015 11:42
11494950	11-07-2009	24   	Published			02-06-2015 11:42
11494950	11-08-2009	21   	Published			02-06-2015 11:42
11494950	11-09-2009	19   	Published			02-06-2015 11:42
11494950	11-10-2009	21   	Published			02-06-2015 11:42
11494950	11-11-2009	22   	Published			02-06-2015 11:42
