station_nbr	record_date	mean_daily_flow_cfs	published_status	estimated	revised	download_date
11495600	09-16-2009	7.0 	Published	Estimated		02-06-2015 11:43
11495600	09-17-2009	4.6 	Published			02-06-2015 11:43
11495600	09-18-2009	2.5 	Published			02-06-2015 11:43
11495600	09-19-2009	4.3 	Published			02-06-2015 11:43
11495600	09-20-2009	2.8 	Published			02-06-2015 11:43
11495600	09-21-2009	1.9 	Published			02-06-2015 11:43
11495600	09-22-2009	4.5 	Published			02-06-2015 11:43
11495600	09-23-2009	4.8 	Published			02-06-2015 11:43
11495600	09-24-2009	4.3 	Published			02-06-2015 11:43
11495600	09-25-2009	3.8 	Published			02-06-2015 11:43
11495600	09-26-2009	3.6 	Published			02-06-2015 11:43
11495600	09-27-2009	3.5 	Published			02-06-2015 11:43
11495600	09-28-2009	3.6 	Published			02-06-2015 11:43
11495600	09-29-2009	3.2 	Published			02-06-2015 11:43
11495600	09-30-2009	3.2 	Published			02-06-2015 11:43
11495600	10-01-2009	3.5 	Published			02-06-2015 11:43
11495600	10-02-2009	3.7 	Published			02-06-2015 11:43
11495600	10-03-2009	3.8 	Published			02-06-2015 11:43
11495600	10-04-2009	4.1 	Published			02-06-2015 11:43
11495600	10-05-2009	4.4 	Published			02-06-2015 11:43
11495600	10-06-2009	4.2 	Published			02-06-2015 11:43
11495600	10-07-2009	5.2 	Published			02-06-2015 11:43
11495600	10-08-2009	6.9 	Published			02-06-2015 11:43
11495600	10-09-2009	4.4 	Published			02-06-2015 11:43
11495600	10-10-2009	3.8 	Published			02-06-2015 11:43
11495600	10-11-2009	3.6 	Published			02-06-2015 11:43
11495600	10-12-2009	3.6 	Published			02-06-2015 11:43
11495600	10-13-2009	3.6 	Published			02-06-2015 11:43
11495600	10-14-2009	4.3 	Published			02-06-2015 11:43
11495600	10-15-2009	6.1 	Published			02-06-2015 11:43
11495600	10-16-2009	6.0 	Published			02-06-2015 11:43
11495600	10-17-2009	4.5 	Published			02-06-2015 11:43
11495600	10-18-2009	4.0 	Published			02-06-2015 11:43
11495600	10-19-2009	3.8 	Published			02-06-2015 11:43
11495600	10-20-2009	4.2 	Published			02-06-2015 11:43
11495600	10-21-2009	4.4 	Published			02-06-2015 11:43
11495600	10-22-2009	4.0 	Published			02-06-2015 11:43
11495600	10-23-2009	4.1 	Published			02-06-2015 11:43
11495600	10-24-2009	4.0 	Published			02-06-2015 11:43
