station_nbr	record_date	mean_daily_flow_cfs	published_status	estimated	revised	download_date
11495900	07-22-2008	59   	Published	Estimated		02-06-2015 11:41
11495900	07-23-2008	60   	Published			02-06-2015 11:41
11495900	07-24-2008	59   	Published			02-06-2015 11:41
11495900	07-25-2008	58   	Published			02-06-2015 11:41
11495900	07-26-2008	58   	Published			02-06-2015 11:41
11495900	07-27-2008	57   	Published			02-06-2015 11:41
11495900	07-28-2008	57   	Published			02-06-2015 11:41
11495900	07-29-2008	57   	Published			02-06-2015 11:41
11495900	07-30-2008	57   	Published			02-06-2015 11:41
11495900	07-31-2008	57   	Published			02-06-2015 11:41
11495900	08-01-2008	56   	Published			02-06-2015 11:41
11495900	08-02-2008	56   	Published			02-06-2015 11:41
11495900	08-03-2008	56   	Published			02-06-2015 11:41
11495900	08-04-2008	55   	Published			02-06-2015 11:41
11495900	08-05-2008	55   	Published			02-06-2015 11:41
11495900	08-06-2008	55   	Published			02-06-2015 11:41
11495900	08-07-2008	56   	Published			02-06-2015 11:41
11495900	08-08-2008	54   	Published			02-06-2015 11:41
11495900	08-09-2008	54   	Published			02-06-2015 11:41
11495900	08-10-2008	54   	Published			02-06-2015 11:41
11495900	08-11-2008	54   	Published			02-06-2015 11:41
11495900	08-12-2008	54   	Published			02-06-2015 11:41
11495900	08-13-2008	53   	Published			02-06-2015 11:41
11495900	08-14-2008	53   	Published			02-06-2015 11:41
11495900	08-15-2008	52   	Published			02-06-2015 11:41
11495900	08-16-2008	52   	Published			02-06-2015 11:41
11495900	08-17-2008	53   	Published			02-06-2015 11:41
11495900	08-18-2008	54   	Published			02-06-2015 11:41
11495900	08-19-2008	53   	Published			02-06-2015 11:41
11495900	08-20-2008	53   	Published			02-06-2015 11:41
11495900	08-21-2008	53   	Published			02-06-2015 11:41
11495900	08-22-2008	52   	Published			02-06-2015 11:41
11495900	08-23-2008	52   	Published			02-06-2015 11:41
11495900	08-24-2008	52   	Published			02-06-2015 11:41
11495900	08-25-2008	52   	Published			02-06-2015 11:41
11495900	08-26-2008	52   	Published			02-06-2015 11:41
11495900	08-27-2008	52   	Published			02-06-2015 11:41
11495900	08-28-2008	51   	Published			02-06-2015 11:41
11495900	08-29-2008	51   	Published			02-06-2015 11:41
11495900	08-30-2008	51   	Published			02-06-2015 11:41
11495900	08-31-2008	51   	Published			02-06-2015 11:41
11495900	09-01-2008	52   	Published			02-06-2015 11:41
11495900	09-02-2008	52   	Published			02-06-2015 11:41
11495900	09-03-2008	51   	Published			02-06-2015 11:41
11495900	09-04-2008	51   	Published			02-06-2015 11:41
11495900	09-05-2008	51   	Published			02-06-2015 11:41
11495900	09-06-2008	51   	Published			02-06-2015 11:41
11495900	09-07-2008	51   	Published			02-06-2015 11:41
11495900	09-08-2008	50   	Published			02-06-2015 11:41
11495900	09-09-2008	50   	Published			02-06-2015 11:41
11495900	09-10-2008	50   	Published			02-06-2015 11:41
11495900	09-11-2008	50   	Published			02-06-2015 11:41
11495900	09-12-2008	50   	Published			02-06-2015 11:41
11495900	09-13-2008	50   	Published			02-06-2015 11:41
11495900	09-14-2008	50   	Published			02-06-2015 11:41
11495900	09-15-2008	50   	Published			02-06-2015 11:41
11495900	09-16-2008	50   	Published			02-06-2015 11:41
11495900	09-17-2008	50   	Published			02-06-2015 11:41
11495900	09-18-2008	50   	Published			02-06-2015 11:41
11495900	09-19-2008	50   	Published			02-06-2015 11:41
11495900	09-20-2008	51   	Published			02-06-2015 11:41
11495900	09-21-2008	51   	Published			02-06-2015 11:41
11495900	09-22-2008	49   	Published	Estimated		02-06-2015 11:41
11495900	09-23-2008	49   	Published	Estimated		02-06-2015 11:41
11495900	09-24-2008	49   	Published	Estimated		02-06-2015 11:41
11495900	09-25-2008	49   	Published	Estimated		02-06-2015 11:41
11495900	09-26-2008	49   	Published	Estimated		02-06-2015 11:41
11495900	09-27-2008	50   	Published			02-06-2015 11:41
11495900	09-28-2008	50   	Published			02-06-2015 11:41
11495900	09-29-2008	50   	Published			02-06-2015 11:41
11495900	09-30-2008	50   	Published			02-06-2015 11:41
11495900	10-01-2008	50   	Published			02-06-2015 11:41
11495900	10-02-2008	51   	Published			02-06-2015 11:41
11495900	10-03-2008	56   	Published			02-06-2015 11:41
11495900	10-04-2008	60   	Published			02-06-2015 11:41
11495900	10-05-2008	56   	Published			02-06-2015 11:41
11495900	10-06-2008	53   	Published			02-06-2015 11:41
11495900	10-07-2008	52   	Published			02-06-2015 11:41
11495900	10-08-2008	52   	Published			02-06-2015 11:41
11495900	10-09-2008	52   	Published			02-06-2015 11:41
11495900	10-10-2008	53   	Published			02-06-2015 11:41
11495900	10-11-2008	53   	Published			02-06-2015 11:41
11495900	10-12-2008	52   	Published			02-06-2015 11:41
11495900	10-13-2008	53   	Published			02-06-2015 11:41
11495900	10-14-2008	53   	Published			02-06-2015 11:41
11495900	10-15-2008	52   	Published			02-06-2015 11:41
11495900	10-16-2008	52   	Published			02-06-2015 11:41
11495900	10-17-2008	52   	Published			02-06-2015 11:41
11495900	10-18-2008	52   	Published			02-06-2015 11:41
11495900	10-19-2008	52   	Published			02-06-2015 11:41
11495900	10-20-2008	52   	Published			02-06-2015 11:41
11495900	10-21-2008	52   	Published			02-06-2015 11:41
11495900	10-22-2008	52   	Published			02-06-2015 11:41
11495900	10-23-2008	52   	Published			02-06-2015 11:41
11495900	10-24-2008	52   	Published			02-06-2015 11:41
11495900	10-25-2008	52   	Published			02-06-2015 11:41
11495900	10-26-2008	52   	Published			02-06-2015 11:41
11495900	10-27-2008	52   	Published			02-06-2015 11:41
11495900	10-28-2008	52   	Published			02-06-2015 11:41
11495900	10-29-2008	52   	Published			02-06-2015 11:41
11495900	10-30-2008	52   	Published			02-06-2015 11:41
11495900	10-31-2008	52   	Published			02-06-2015 11:41
11495900	11-01-2008	54   	Published			02-06-2015 11:41
11495900	11-02-2008	58   	Published			02-06-2015 11:41
11495900	11-03-2008	56   	Published			02-06-2015 11:41
11495900	11-04-2008	56   	Published			02-06-2015 11:41
11495900	11-05-2008	55   	Published			02-06-2015 11:41
11495900	11-06-2008	57   	Published			02-06-2015 11:41
11495900	11-07-2008	57   	Published			02-06-2015 11:41
11495900	11-08-2008	57   	Published			02-06-2015 11:41
11495900	11-09-2008	57   	Published			02-06-2015 11:41
11495900	11-10-2008	56   	Published			02-06-2015 11:41
11495900	11-11-2008	57   	Published			02-06-2015 11:41
11495900	11-12-2008	63   	Published			02-06-2015 11:41
11495900	11-13-2008	67   	Published			02-06-2015 11:41
11495900	11-14-2008	60   	Published			02-06-2015 11:41
11495900	11-15-2008	56   	Published			02-06-2015 11:41
11495900	11-16-2008	51   	Published			02-06-2015 11:41
11495900	11-17-2008	49   	Published			02-06-2015 11:41
11495900	11-18-2008	49   	Published			02-06-2015 11:41
11495900	11-19-2008	48   	Published			02-06-2015 11:41
11495900	11-20-2008	49   	Published			02-06-2015 11:41
11495900	11-21-2008	47   	Published			02-06-2015 11:41
11495900	11-22-2008	47   	Published			02-06-2015 11:41
11495900	11-23-2008	45   	Published			02-06-2015 11:41
11495900	11-24-2008	45   	Published			02-06-2015 11:41
11495900	11-25-2008	48   	Published			02-06-2015 11:41
11495900	11-26-2008	48   	Published			02-06-2015 11:41
11495900	11-27-2008	47   	Published			02-06-2015 11:41
11495900	11-28-2008	46   	Published			02-06-2015 11:41
11495900	11-29-2008	46   	Published			02-06-2015 11:41
11495900	11-30-2008	46   	Published			02-06-2015 11:41
11495900	12-01-2008	46   	Published			02-06-2015 11:41
11495900	12-02-2008	47   	Published			02-06-2015 11:41
11495900	12-03-2008	44   	Published			02-06-2015 11:41
11495900	12-04-2008	42   	Published			02-06-2015 11:41
11495900	12-05-2008	42   	Published			02-06-2015 11:41
11495900	12-06-2008	43   	Published			02-06-2015 11:41
11495900	12-07-2008	43   	Published			02-06-2015 11:41
11495900	12-08-2008	46   	Published			02-06-2015 11:41
11495900	12-09-2008	41   	Published			02-06-2015 11:41
11495900	12-10-2008	44   	Published			02-06-2015 11:41
11495900	12-11-2008	45   	Published			02-06-2015 11:41
11495900	12-12-2008	46   	Published			02-06-2015 11:41
11495900	12-13-2008	45   	Published			02-06-2015 11:41
11495900	12-14-2008	44   	Published			02-06-2015 11:41
11495900	12-15-2008	45   	Published			02-06-2015 11:41
11495900	12-16-2008	40   	Published			02-06-2015 11:41
11495900	12-17-2008	40   	Published			02-06-2015 11:41
11495900	12-18-2008	44   	Published			02-06-2015 11:41
11495900	12-19-2008	47   	Published			02-06-2015 11:41
11495900	12-20-2008	45   	Published			02-06-2015 11:41
11495900	12-21-2008	48   	Published			02-06-2015 11:41
11495900	12-22-2008	48   	Published			02-06-2015 11:41
