station_nbr	record_date	mean_daily_flow_cfs	published_status	estimated	revised	download_date
11500500	06-18-2009	379   	Published			02-06-2015 11:46
11500500	06-19-2009	341   	Published			02-06-2015 11:46
11500500	06-20-2009	295   	Published			02-06-2015 11:46
11500500	06-21-2009	278   	Published			02-06-2015 11:46
11500500	06-22-2009	280   	Published			02-06-2015 11:46
11500500	06-23-2009	301   	Published			02-06-2015 11:46
11500500	06-24-2009	292   	Published			02-06-2015 11:46
11500500	06-25-2009	255   	Published			02-06-2015 11:46
11500500	06-26-2009	234   	Published			02-06-2015 11:46
11500500	06-27-2009	214   	Published			02-06-2015 11:46
11500500	06-28-2009	208   	Published			02-06-2015 11:46
11500500	06-29-2009	194   	Published			02-06-2015 11:46
11500500	06-30-2009	210   	Published			02-06-2015 11:46
11500500	07-01-2009	193   	Published			02-06-2015 11:46
11500500	07-02-2009	166   	Published			02-06-2015 11:46
11500500	07-03-2009	172   	Published			02-06-2015 11:46
11500500	07-04-2009	171   	Published			02-06-2015 11:46
11500500	07-05-2009	169   	Published			02-06-2015 11:46
11500500	07-06-2009	162   	Published			02-06-2015 11:46
11500500	07-07-2009	158   	Published			02-06-2015 11:46
11500500	07-08-2009	164   	Published			02-06-2015 11:46
11500500	07-09-2009	156   	Published			02-06-2015 11:46
11500500	07-10-2009	162   	Published			02-06-2015 11:46
11500500	07-11-2009	167   	Published			02-06-2015 11:46
11500500	07-12-2009	165   	Published			02-06-2015 11:46
11500500	07-13-2009	159   	Published			02-06-2015 11:46
11500500	07-14-2009	155   	Published			02-06-2015 11:46
11500500	07-15-2009	167   	Published			02-06-2015 11:46
11500500	07-16-2009	150   	Published			02-06-2015 11:46
11500500	07-17-2009	122   	Published			02-06-2015 11:46
11500500	07-18-2009	114   	Published			02-06-2015 11:46
11500500	07-19-2009	110   	Published			02-06-2015 11:46
11500500	07-20-2009	116   	Published			02-06-2015 11:46
11500500	07-21-2009	121   	Published			02-06-2015 11:46
11500500	07-22-2009	124   	Published			02-06-2015 11:46
11500500	07-23-2009	112   	Published			02-06-2015 11:46
11500500	07-24-2009	107   	Published			02-06-2015 11:46
11500500	07-25-2009	112   	Published			02-06-2015 11:46
11500500	07-26-2009	114   	Published			02-06-2015 11:46
11500500	07-27-2009	115   	Published			02-06-2015 11:46
11500500	07-28-2009	112   	Published			02-06-2015 11:46
11500500	07-29-2009	116   	Published			02-06-2015 11:46
11500500	07-30-2009	123   	Published			02-06-2015 11:46
11500500	07-31-2009	118   	Published			02-06-2015 11:46
11500500	08-01-2009	110   	Published			02-06-2015 11:46
11500500	08-02-2009	123   	Published			02-06-2015 11:46
11500500	08-03-2009	131   	Published			02-06-2015 11:46
11500500	08-04-2009	110   	Published			02-06-2015 11:46
