STATION_ID,DESCRIPTION,AGENCY,LAT,LON,START,DRAINAGE_AREA_MI2,SITE_NAME
11494950,S FK SPRAGUE R AT SPRAGUE R PARK NR BLY,OWRD,42_22_24.488,-120_58_09.901,10/1/09,,SF
11495600,S FK SPRAGUE R BL FISHHOLE CR NR BLY,OWRD,42_25_11.809,-121_03_23.209,8/7/08,,SF_Bly
11495900,"N FK SPRAGUE R AB SRIC CN NR BLY, OR",OWRD,42_29_47.500,-121_00_24.930,7/22/08,,NF
11497500,"SPRAGUE R NR BEATTY, OR",OWRD,42_26_51.306,-121_14_18.557,4/19/12,513,Beatty
11497550,SPRAGUE R BL BROWN CR NR BEATTY,OWRD,42_27_35.230,-121_16_16.619,10/1/08,,Godowa
11499100,"SYCAN R BL SNAKE CR NR BEATTY, OR",OWRD,42_29_12.003,-121_16_42.008,10/1/73,568,Sycan
11500500,SPRAGUE R AT LONE PINE,OWRD,42_33_06.588,-121_37_10.812,6/18/09,,Lone_Pine
