"SITE_NAME","AREA_KM2"
"Godowa",1470.1266
"Godowa-SF_Ivory-NF_Ivory",181.6488
"Godowa-SF-NF",1003.7322
"Lone_Pine",3692.78910000001
"Lone_Pine-Godowa-Sycan",782.0874
"NF",186.8526
"NF_Ivory",535.3254
"NF_Ivory-NF",348.4728
"Power",4122.55080000001
"Power-Lone_Pine",429.7617
"SF",279.5418
"SF_Ivory",753.1524
"SF_Ivory-SF",473.6106
"Sycan",1440.5751
"Godowa+Sycan",2910.7017
"SF+NF",466.3944
"SF_Ivory+NF_Ivory",1288.4778
