"DATASET","VAR","SITE_NAME","AREA_KM2","TERM","VALUE"
"RECENT","TSS","Sycan",1440.5751,"L",3248452.6500858
"RECENT","TSS","SF_Ivory",753.1524,"L",7249018.02799985
"RECENT","TSS","SF",279.5418,"L",1775084.26753638
"RECENT","TSS","NF_Ivory",535.3254,"L",7521418.14678552
"RECENT","TSS","NF",186.8526,"L",1384250.04405792
"RECENT","TSS","Power-Lone_Pine",429.7617,"L",-393075.318042677
"RECENT","TSS","Lone_Pine-Godowa-Sycan",782.0874,"L",6046506.69028986
"RECENT","TSS","Godowa-SF-NF",1003.7322,"L",10906458.8505127
"RECENT","TSS","Godowa-SF_Ivory-NF_Ivory",181.6488,"L",-704643.012678372
"RECENT","TSS","SF_Ivory-SF",473.6106,"L",5473933.76046347
"RECENT","TSS","NF_Ivory-NF",348.4728,"L",6137168.1027276
"RECENT","PP","Power",4122.55080000001,"L",69616.0219987239
"RECENT","PP","Lone_Pine",3692.78910000001,"L",72906.068778533
"RECENT","PP","Godowa",1470.1266,"L",38282.4852856712
"RECENT","PP","Sycan",1440.5751,"L",16090.8456806981
"RECENT","PP","SF_Ivory",753.1524,"L",15844.6467102396
"RECENT","PP","SF",279.5418,"L",6419.14475830965
"RECENT","PP","NF_Ivory",535.3254,"L",18640.0746730073
"RECENT","PP","NF",186.8526,"L",8991.95072219312
"RECENT","PP","Power-Lone_Pine",429.7617,"L",-3290.04677980911
"RECENT","PP","Lone_Pine-Godowa-Sycan",782.0874,"L",18532.7378121637
"RECENT","PP","Godowa-SF-NF",1003.7322,"L",22871.3898051685
"RECENT","PP","Godowa-SF_Ivory-NF_Ivory",181.6488,"L",3797.7639024243
"RECENT","PP","SF_Ivory-SF",473.6106,"L",9425.50195192996
"RECENT","PP","NF_Ivory-NF",348.4728,"L",9648.1239508142
"POR","NH4","Power",4122.55080000001,"C",18.4313008182574
"POR","NH4","Lone_Pine",3692.78910000001,"C",17.8526139552076
"POR","NH4","Godowa",1470.1266,"C",18.5491066812178
"POR","NH4","Sycan",1440.5751,"C",15.5727099882694
"POR","NH4","SF",279.5418,"C",13.316442343252
"POR","NH4","NF",186.8526,"C",12.1882510805523
"POR","NH4","Power-Lone_Pine",429.7617,"C",0.57868686304985
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,"C",-16.2692027142796
"POR","NH4","Godowa-SF-NF",1003.7322,"C",-6.95558674258649
"POR","NO23","Power",4122.55080000001,"C",18.9800271957775
"POR","NO23","Lone_Pine",3692.78910000001,"C",19.3423944967017
"POR","NO23","Godowa",1470.1266,"C",25.7758983210118
"POR","NO23","Sycan",1440.5751,"C",18.1509890303545
"POR","NO23","SF",279.5418,"C",13.6984136514881
"POR","NO23","NF",186.8526,"C",15.5386834433552
"POR","NO23","Power-Lone_Pine",429.7617,"C",-0.362367300924173
"POR","NO23","Lone_Pine-Godowa-Sycan",782.0874,"C",-24.5844928546646
"POR","NO23","Godowa-SF-NF",1003.7322,"C",-3.46119877383142
"POR","PO4","Power",4122.55080000001,"C",42.9997282614439
"POR","PO4","Lone_Pine",3692.78910000001,"C",38.8936990545024
"POR","PO4","Godowa",1470.1266,"C",38.8669381124121
"POR","PO4","Sycan",1440.5751,"C",21.8238486217155
"POR","PO4","SF",279.5418,"C",21.8097062046698
"POR","PO4","NF",186.8526,"C",32.3577549093229
"POR","PO4","Power-Lone_Pine",429.7617,"C",4.10602920694154
"POR","PO4","Lone_Pine-Godowa-Sycan",782.0874,"C",-21.7970876796252
"POR","PO4","Godowa-SF-NF",1003.7322,"C",-15.3005230015807
"POR","TN","Power",4122.55080000001,"C",380.451824317646
"POR","TN","Lone_Pine",3692.78910000001,"C",385.225432498662
"POR","TN","Godowa",1470.1266,"C",273.013368265818
"POR","TN","Sycan",1440.5751,"C",493.366902145611
"POR","TN","SF",279.5418,"C",192.085305519378
"POR","TN","NF",186.8526,"C",141.096888092808
"POR","TN","Power-Lone_Pine",429.7617,"C",-4.77360818101613
"POR","TN","Lone_Pine-Godowa-Sycan",782.0874,"C",-381.154837912767
"POR","TN","Godowa-SF-NF",1003.7322,"C",-60.1688253463681
"POR","TP","Power",4122.55080000001,"C",76.7325814238175
"POR","TP","Lone_Pine",3692.78910000001,"C",74.2307514522377
"POR","TP","Godowa",1470.1266,"C",69.1970836353199
"POR","TP","Sycan",1440.5751,"C",55.0506236560075
"POR","TP","SF",279.5418,"C",45.1831622568901
"POR","TP","NF",186.8526,"C",47.7375475004253
"POR","TP","Power-Lone_Pine",429.7617,"C",2.5018299715798
"POR","TP","Lone_Pine-Godowa-Sycan",782.0874,"C",-50.0169558390898
"POR","TP","Godowa-SF-NF",1003.7322,"C",-23.7236261219954
"POR","PP","Power",4122.55080000001,"C",33.7359463050015
"POR","PP","Lone_Pine",3692.78910000001,"C",35.3370523977353
"POR","PP","Godowa",1470.1266,"C",30.3491646275616
"POR","PP","Sycan",1440.5751,"C",33.2271002526827
"POR","PP","SF",279.5418,"C",23.4138479919499
"POR","PP","NF",186.8526,"C",15.5010649533378
"POR","PP","Power-Lone_Pine",429.7617,"C",-1.60110609273379
"POR","PP","Lone_Pine-Godowa-Sycan",782.0874,"C",-28.2392124825091
"POR","PP","Godowa-SF-NF",1003.7322,"C",-8.56574831772604
"RECENT","NH4","Power",4122.55080000001,"C",13.2044457712536
"RECENT","NH4","Lone_Pine",3692.78910000001,"C",12.4238533195588
"RECENT","NH4","Godowa",1470.1266,"C",12.23612612693
"RECENT","NH4","Sycan",1440.5751,"C",12.6930847160054
"RECENT","NH4","SF_Ivory",753.1524,"C",13.1711876782898
"RECENT","NH4","SF",279.5418,"C",10.4906485211259
"RECENT","NH4","NF_Ivory",535.3254,"C",11.2153658007483
"RECENT","NH4","NF",186.8526,"C",10.0310202688463
"RECENT","NH4","Power-Lone_Pine",429.7617,"C",0.780592451694835
"RECENT","NH4","Lone_Pine-Godowa-Sycan",782.0874,"C",-12.5053575233766
"RECENT","NH4","Godowa-SF-NF",1003.7322,"C",-8.28554266304213
"RECENT","NH4","Godowa-SF_Ivory-NF_Ivory",181.6488,"C",-12.1504273521081
"RECENT","NH4","SF_Ivory-SF",473.6106,"C",2.6805391571639
"RECENT","NH4","NF_Ivory-NF",348.4728,"C",1.18434553190205
"RECENT","NO23","Power",4122.55080000001,"C",14.5725955232155
"RECENT","NO23","Lone_Pine",3692.78910000001,"C",15.7504606716262
"RECENT","NO23","Godowa",1470.1266,"C",23.626250326487
"RECENT","NO23","Sycan",1440.5751,"C",17.358793909072
"RECENT","NO23","SF_Ivory",753.1524,"C",12.5251576607218
"RECENT","NO23","SF",279.5418,"C",11.1128541956231
"RECENT","NO23","NF_Ivory",535.3254,"C",13.586038011676
"RECENT","NO23","NF",186.8526,"C",15.2218608632104
"RECENT","NO23","Power-Lone_Pine",429.7617,"C",-1.17786514841074
"RECENT","NO23","Lone_Pine-Godowa-Sycan",782.0874,"C",-25.2345835639327
"RECENT","NO23","Godowa-SF-NF",1003.7322,"C",-2.70846473234652
"RECENT","NO23","Godowa-SF_Ivory-NF_Ivory",181.6488,"C",-2.48494534591084
"RECENT","NO23","SF_Ivory-SF",473.6106,"C",1.41230346509873
"RECENT","NO23","NF_Ivory-NF",348.4728,"C",-1.63582285153441
"RECENT","PO4","Power",4122.55080000001,"C",38.9333297849351
"RECENT","PO4","Lone_Pine",3692.78910000001,"C",34.9438945953703
"RECENT","PO4","Godowa",1470.1266,"C",37.1932397387932
"RECENT","PO4","Sycan",1440.5751,"C",16.0588261885092
"RECENT","PO4","SF_Ivory",753.1524,"C",25.0198441990836
"RECENT","PO4","SF",279.5418,"C",20.8812496150448
"RECENT","PO4","NF_Ivory",535.3254,"C",32.7247538017713
"RECENT","PO4","NF",186.8526,"C",31.8784079705754
"RECENT","PO4","Power-Lone_Pine",429.7617,"C",3.98943518956473
"RECENT","PO4","Lone_Pine-Godowa-Sycan",782.0874,"C",-18.3081713319321
"RECENT","PO4","Godowa-SF-NF",1003.7322,"C",-15.566417846827
"RECENT","PO4","Godowa-SF_Ivory-NF_Ivory",181.6488,"C",-20.5513582620617
"RECENT","PO4","SF_Ivory-SF",473.6106,"C",4.13859458403881
"RECENT","PO4","NF_Ivory-NF",348.4728,"C",0.846345831195851
"RECENT","TN","Power",4122.55080000001,"C",341.862454681535
"RECENT","TN","Lone_Pine",3692.78910000001,"C",361.147564604047
"RECENT","TN","Godowa",1470.1266,"C",229.73508816563
"RECENT","TN","Sycan",1440.5751,"C",483.965560036754
"RECENT","TN","SF_Ivory",753.1524,"C",360.341987620355
"RECENT","TN","SF",279.5418,"C",185.738730036906
"RECENT","TN","NF_Ivory",535.3254,"C",197.210735193451
"RECENT","TN","NF",186.8526,"C",134.448760422058
"RECENT","TN","Power-Lone_Pine",429.7617,"C",-19.2851099225115
"RECENT","TN","Lone_Pine-Godowa-Sycan",782.0874,"C",-352.553083598337
"RECENT","TN","Godowa-SF-NF",1003.7322,"C",-90.4524022933343
"RECENT","TN","Godowa-SF_Ivory-NF_Ivory",181.6488,"C",-327.817634648176
"RECENT","TN","SF_Ivory-SF",473.6106,"C",174.603257583449
"RECENT","TN","NF_Ivory-NF",348.4728,"C",62.7619747713933
"RECENT","TP","Power",4122.55080000001,"C",70.9833361178105
"RECENT","TP","Lone_Pine",3692.78910000001,"C",68.7661552974192
"RECENT","TP","Godowa",1470.1266,"C",61.9682016024533
"RECENT","TP","Sycan",1440.5751,"C",49.5150826271592
"RECENT","TP","SF_Ivory",753.1524,"C",62.2937650905407
"RECENT","TP","SF",279.5418,"C",45.4297737341229
"RECENT","TP","NF_Ivory",535.3254,"C",64.9773977398182
"RECENT","TP","NF",186.8526,"C",50.9302500027664
"RECENT","TP","Power-Lone_Pine",429.7617,"C",2.21718082039132
"RECENT","TP","Lone_Pine-Godowa-Sycan",782.0874,"C",-42.7171289321933
"RECENT","TP","Godowa-SF-NF",1003.7322,"C",-34.3918221344361
"RECENT","TP","Godowa-SF_Ivory-NF_Ivory",181.6488,"C",-65.3029612279057
"RECENT","TP","SF_Ivory-SF",473.6106,"C",16.8639913564178
"RECENT","TP","NF_Ivory-NF",348.4728,"C",14.0471477370518
"RECENT","TSS","Power",4122.55080000001,"C",14520.2809507135
"RECENT","TSS","Lone_Pine",3692.78910000001,"C",14683.9771092367
"RECENT","TSS","Godowa",1470.1266,"C",12905.57264633
"RECENT","TSS","Sycan",1440.5751,"C",8881.40807366106
"RECENT","TSS","SF_Ivory",753.1524,"C",23293.0086267684
"RECENT","TSS","SF",279.5418,"C",9381.25856909047
"RECENT","TSS","NF_Ivory",535.3254,"C",17795.4806091259
"RECENT","TSS","NF",186.8526,"C",4169.54116797643
"RECENT","TSS","Power-Lone_Pine",429.7617,"C",-163.696158523157
"RECENT","TSS","Lone_Pine-Godowa-Sycan",782.0874,"C",-7103.00361075437
"RECENT","TSS","Godowa-SF-NF",1003.7322,"C",-645.227090736911
"RECENT","TSS","Godowa-SF_Ivory-NF_Ivory",181.6488,"C",-28182.9165895643
"RECENT","TSS","SF_Ivory-SF",473.6106,"C",13911.7500576779
"RECENT","TSS","NF_Ivory-NF",348.4728,"C",13625.9394411495
"RECENT","PP","Power",4122.55080000001,"C",32.056228855796
"RECENT","PP","Lone_Pine",3692.78910000001,"C",33.8222607020489
"RECENT","PP","Godowa",1470.1266,"C",24.8076390938029
"RECENT","PP","Sycan",1440.5751,"C",33.45625643865
"RECENT","PP","SF_Ivory",753.1524,"C",37.2740428288792
"RECENT","PP","SF",279.5418,"C",24.6018182185764
"RECENT","PP","NF_Ivory",535.3254,"C",32.2585932821327
"RECENT","PP","NF",186.8526,"C",19.2518197479156
"RECENT","PP","Power-Lone_Pine",429.7617,"C",-1.76603184625282
"RECENT","PP","Lone_Pine-Godowa-Sycan",782.0874,"C",-24.4416348304041
"RECENT","PP","Godowa-SF-NF",1003.7322,"C",-19.0459988726891
"RECENT","PP","Godowa-SF_Ivory-NF_Ivory",181.6488,"C",-44.7249970172089
"RECENT","PP","SF_Ivory-SF",473.6106,"C",12.6722246103028
"RECENT","PP","NF_Ivory-NF",348.4728,"C",13.0067735342171
"POR","NH4","Power",4122.55080000001,"L_AREA",22.6360178672651
"POR","NH4","Lone_Pine",3692.78910000001,"L_AREA",26.1241051134176
"POR","NH4","Godowa",1470.1266,"L_AREA",46.5563084937475
"POR","NH4","Sycan",1440.5751,"L_AREA",13.6763684360184
"POR","NH4","SF",279.5418,"L_AREA",29.1394494212591
"POR","NH4","NF",186.8526,"L_AREA",64.8578451711821
"POR","NH4","Power-Lone_Pine",429.7617,"L_AREA",-7.33587251394193
"POR","NH4","Lone_Pine-Godowa-Sycan",782.0874,"L_AREA",10.6449832438992
"POR","NH4","Godowa-SF-NF",1003.7322,"L_AREA",47.9999708802843
"POR","NO23","Power",4122.55080000001,"L_AREA",23.309924728656
"POR","NO23","Lone_Pine",3692.78910000001,"L_AREA",28.3041322825238
"POR","NO23","Godowa",1470.1266,"L_AREA",64.6947960653871
"POR","NO23","Sycan",1440.5751,"L_AREA",15.9406817210524
"POR","NO23","SF",279.5418,"L_AREA",29.9752908066542
"POR","NO23","NF",186.8526,"L_AREA",82.6866396394806
"POR","NO23","Power-Lone_Pine",429.7617,"L_AREA",-19.6035206017691
"POR","NO23","Lone_Pine-Godowa-Sycan",782.0874,"L_AREA",-17.3281126429247
"POR","NO23","Godowa-SF-NF",1003.7322,"L_AREA",71.0149382751549
"POR","PO4","Power",4122.55080000001,"L_AREA",52.8092198598064
"POR","PO4","Lone_Pine",3692.78910000001,"L_AREA",56.9139670469974
"POR","PO4","Godowa",1470.1266,"L_AREA",97.5519302393731
"POR","PO4","Sycan",1440.5751,"L_AREA",19.1662847807033
"POR","PO4","SF",279.5418,"L_AREA",47.7246710842063
"POR","PO4","NF",186.8526,"L_AREA",172.186661082536
"POR","PO4","Power-Lone_Pine",429.7617,"L_AREA",17.5385904130348
"POR","PO4","Lone_Pine-Godowa-Sycan",782.0874,"L_AREA",50.0546575844013
"POR","PO4","Godowa-SF-NF",1003.7322,"L_AREA",97.535101253471
"POR","TN","Power",4122.55080000001,"L_AREA",467.243976852526
"POR","TN","Lone_Pine",3692.78910000001,"L_AREA",563.708469594799
"POR","TN","Godowa",1470.1266,"L_AREA",685.234864101071
"POR","TN","Sycan",1440.5751,"L_AREA",433.28794621894
"POR","TN","SF",279.5418,"L_AREA",420.326983774717
"POR","TN","NF",186.8526,"L_AREA",750.824713207685
"POR","TN","Power-Lone_Pine",429.7617,"L_AREA",-361.641024616178
"POR","TN","Lone_Pine-Godowa-Sycan",782.0874,"L_AREA",575.499189325698
"POR","TN","Godowa-SF-NF",1003.7322,"L_AREA",746.802274075002
"POR","TP","Power",4122.55080000001,"L_AREA",94.2375202508967
"POR","TP","Lone_Pine",3692.78910000001,"L_AREA",108.623418310156
"POR","TP","Godowa",1470.1266,"L_AREA",173.677408187837
"POR","TP","Sycan",1440.5751,"L_AREA",48.3469230672945
"POR","TP","SF",279.5418,"L_AREA",98.8711877646792
"POR","TP","NF",186.8526,"L_AREA",254.027788250505
"POR","TP","Power-Lone_Pine",429.7617,"L_AREA",-29.3753739342815
"POR","TP","Lone_Pine-Godowa-Sycan",782.0874,"L_AREA",97.3653635285848
"POR","TP","Godowa-SF-NF",1003.7322,"L_AREA",179.553266392435
"POR","PP","Power",4122.55080000001,"L_AREA",41.4320991697268
"POR","PP","Lone_Pine",3692.78910000001,"L_AREA",51.7094512631581
"POR","PP","Godowa",1470.1266,"L_AREA",76.1732139024781
"POR","PP","Sycan",1440.5751,"L_AREA",29.1809239020388
"POR","PP","SF",279.5418,"L_AREA",51.2349035674837
"POR","PP","NF",186.8526,"L_AREA",82.4864588108288
"POR","PP","Power-Lone_Pine",429.7617,"L_AREA",-46.8775240179264
"POR","PP","Lone_Pine-Godowa-Sycan",782.0874,"L_AREA",47.2204483255667
"POR","PP","Godowa-SF-NF",1003.7322,"L_AREA",81.9433325999164
"RECENT","NH4","Power",4122.55080000001,"L_AREA",6.95586163731001
"RECENT","NH4","Lone_Pine",3692.78910000001,"L_AREA",7.25208454177783
"RECENT","NH4","Godowa",1470.1266,"L_AREA",12.8441065152547
"RECENT","NH4","Sycan",1440.5751,"L_AREA",4.23772529038501
"RECENT","NH4","SF_Ivory",753.1524,"L_AREA",7.43392429416493
"RECENT","NH4","SF",279.5418,"L_AREA",9.79242372742516
"RECENT","NH4","NF_Ivory",535.3254,"L_AREA",12.1059204511545
"RECENT","NH4","NF",186.8526,"L_AREA",25.0742582233273
"RECENT","NH4","Power-Lone_Pine",429.7617,"L_AREA",4.41052380755664
"RECENT","NH4","Lone_Pine-Godowa-Sycan",782.0874,"L_AREA",2.29283143147121
"RECENT","NH4","Godowa-SF-NF",1003.7322,"L_AREA",11.4172690126729
"RECENT","NH4","Godowa-SF_Ivory-NF_Ivory",181.6488,"L_AREA",37.4512686560998
"RECENT","NH4","SF_Ivory-SF",473.6106,"L_AREA",6.04185414862227
"RECENT","NH4","NF_Ivory-NF",348.4728,"L_AREA",5.15224248716793
"RECENT","NO23","Power",4122.55080000001,"L_AREA",7.67657801864308
"RECENT","NO23","Lone_Pine",3692.78910000001,"L_AREA",9.19390058982414
"RECENT","NO23","Godowa",1470.1266,"L_AREA",24.8001755295411
"RECENT","NO23","Sycan",1440.5751,"L_AREA",5.79542338248934
"RECENT","NO23","SF_Ivory",753.1524,"L_AREA",7.06929975462744
"RECENT","NO23","SF",279.5418,"L_AREA",10.3726284912313
"RECENT","NO23","NF_Ivory",535.3254,"L_AREA",14.6648355780546
"RECENT","NO23","NF",186.8526,"L_AREA",38.0496559367032
"RECENT","NO23","Power-Lone_Pine",429.7617,"L_AREA",-5.36123398750221
"RECENT","NO23","Lone_Pine-Godowa-Sycan",782.0874,"L_AREA",-13.8820858958132
"RECENT","NO23","Godowa-SF-NF",1003.7322,"L_AREA",26.3517872103725
"RECENT","NO23","Godowa-SF_Ivory-NF_Ivory",181.6488,"L_AREA",128.185150038834
"RECENT","NO23","SF_Ivory-SF",473.6106,"L_AREA",5.11955779145774
"RECENT","NO23","NF_Ivory-NF",348.4728,"L_AREA",2.12579527262347
"RECENT","PO4","Power",4122.55080000001,"L_AREA",20.5093693256963
"RECENT","PO4","Lone_Pine",3692.78910000001,"L_AREA",20.3975426388565
"RECENT","PO4","Godowa",1470.1266,"L_AREA",39.0412723681461
"RECENT","PO4","Sycan",1440.5751,"L_AREA",5.3614149275417
"RECENT","PO4","SF_Ivory",753.1524,"L_AREA",14.12140136264
"RECENT","PO4","SF",279.5418,"L_AREA",19.4903524222278
"RECENT","PO4","NF_Ivory",535.3254,"L_AREA",35.3232585852372
"RECENT","PO4","NF",186.8526,"L_AREA",79.6855565814462
"RECENT","PO4","Power-Lone_Pine",429.7617,"L_AREA",21.4702561852072
"RECENT","PO4","Lone_Pine-Godowa-Sycan",782.0874,"L_AREA",13.0480164645449
"RECENT","PO4","Godowa-SF-NF",1003.7322,"L_AREA",36.9199985591997
"RECENT","PO4","Godowa-SF_Ivory-NF_Ivory",181.6488,"L_AREA",153.321178819653
"RECENT","PO4","SF_Ivory-SF",473.6106,"L_AREA",10.9524557281693
