"SITE_NAME","STATION_ID","DESCRIPTION","LAT","LON","DRAINAGE_AREA_SQMI","START_DATE","END_DATE"
"SF",11494950,"S FK SPRAGUE R AT SPRAGUE R PARK NR BLY",42.3734688888889,-120.969416944444,NA,2009-10-01,2015-02-05
"SF_Bly",11495600,"S FK SPRAGUE R BL FISHHOLE CR NR BLY",42.4199469444444,-121.056446944444,NA,2009-09-16,2015-02-05
"NF",11495900,"N FK SPRAGUE R AB SRIC CN NR BLY, OR",42.4965277777778,-121.006925,NA,2008-07-22,2015-02-06
"Beatty",11497500,"SPRAGUE R NR BEATTY, OR",42.447585,-121.238488055556,513,1953-10-01,2015-02-05
"Godowa",11497550,"SPRAGUE R BL BROWN CR NR BEATTY",42.4597861111111,-121.271283055556,NA,2008-10-01,2015-02-05
"Sycan",11499100,"SYCAN R BL SNAKE CR NR BEATTY, OR",42.4866675,-121.278335555556,568,1973-10-01,2015-02-05
"Lone_Pine",11500500,"SPRAGUE R AT LONE PINE",42.55183,-121.61967,NA,2009-06-18,2015-02-05
