"SITE","SITE_NAME","INC_SITE_NAME"
"SR0090","Sprague_Power","Power_Lone"
"SR0080","Sprague_Lone","Lone_Godowa_Sycan"
"SR0070","Sycan","Sycan"
"SR0060","Sprague_Godowa","Godowa_SF_Ivory_NF_Ivory"
"SR0150","Sprague_SF_Ivory","SF_Ivory_SF"
"SR0050","Sprague_SF","Sprague_SF"
"SR0140","Sprague_NF_Ivory","NF_Ivory_NF"
"SR0040","Sprague_NF","Sprague_NF"
