SITE,INCREMENTAL_BASIN,CUMULATIVE_BASIN,LABEL,SEASON,CUM_Q,NET_Q,CUM_Q_AREA,NET_Q_AREA,CUM_NH4_C,NET_NH4_C,CUM_NH4_L,NET_NH4_L,CUM_NH4_L_AREA,NET_NH4_L_AREA,CUM_NO23_C,NET_NO23_C,CUM_NO23_L,NET_NO23_L,CUM_NO23_L_AREA,NET_NO23_L_AREA,CUM_PO4_C,NET_PO4_C,CUM_PO4_L,NET_PO4_L,CUM_PO4_L_AREA,NET_PO4_L_AREA,CUM_PP_C,NET_PP_C,CUM_PP_L,NET_PP_L,CUM_PP_L_AREA,NET_PP_L_AREA,CUM_TN_C,NET_TN_C,CUM_TN_L,NET_TN_L,CUM_TN_L_AREA,NET_TN_L_AREA,CUM_TP_C,NET_TP_C,CUM_TP_L,NET_TP_L,CUM_TP_L_AREA,NET_TP_L_AREA,CUM_TSS_C,NET_TSS_C,CUM_TSS_L,NET_TSS_L,CUM_TSS_L_AREA,NET_TSS_L_AREA
SR0090,Power-Lone_Pine,Power,Lower Sprague,Spring (Apr-Jun),652.01,-35.49,15.82,-8.26,14.75,2.41,9614.1,1135.2,2.332,2.641,10.99,-0.41,7164.4,-669.7,1.738,-1.558,36.9,5,24056.2,2127.6,5.835,4.951,35.23,-0.5,22970.1,-1596.3,5.572,-3.714,380.98,-11.77,248405.1,-21611.8,60.255,-50.288,72.12,4.5,47026.3,531.3,11.407,1.236,14789.66,2192.18,10193259.8,989278.1,2472.561,2301.923
SR0140,NF_Ivory-NF,NF_Ivory,Lower NF,Spring (Apr-Jun),187.99,27.89,35.12,8,13.1,1.31,2463.3,575.2,4.602,1.651,14.35,-0.33,2697.5,348,5.039,0.999,25.95,2.76,4877.5,1165.6,9.111,3.345,34.95,11.35,6570.8,2791.5,12.274,8.011,203.68,47.14,38290.1,13227.9,71.527,37.96,60.9,14.11,11448.3,3957.3,21.386,11.356,17130.69,11569.26,3422110.8,2514614.4,6392.581,7216.1
SR0150,SF_Ivory-SF,SF_Ivory,Lower SF,Spring (Apr-Jun),156.06,39.81,20.72,8.4,14.35,2.49,2239.7,861,2.974,1.818,12.06,-0.59,1881.5,411.7,2.498,0.869,20.89,2.78,3260.3,1154.5,4.329,2.438,35.03,7.85,5466.8,2306.5,7.259,4.87,302.64,111.63,47229.2,25024.1,62.709,52.837,55.92,10.62,8727.2,3461,11.588,7.308,18503.07,7082.27,3001885.2,1631468,3985.761,3444.745
SR0040,NF,NF,Upper NF,Summer (Jul-Sep),51.44,51.44,27.53,27.53,12.6,,648,648,3.468,3.468,15.74,,809.6,809.6,4.333,4.333,37.65,,1936.7,1936.7,10.365,10.365,15.04,,773.9,773.9,4.142,4.142,106.7,,5489.1,5489.1,29.376,29.376,52.69,,2710.7,2710.7,14.507,14.507,2096.22,,111420.1,111420.1,596.3,596.3
SR0050,SF,SF,Upper SF,Summer (Jul-Sep),14.69,14.69,5.26,5.26,13.07,,192.1,192.1,0.687,0.687,10.48,,154,154,0.551,0.551,25.52,,374.8,374.8,1.341,1.341,15.43,,226.7,226.7,0.811,0.811,126.27,,1855,1855,6.636,6.636,40.89,,600.7,600.7,2.149,2.149,2468.83,,36597.8,36597.8,130.921,130.921
SR0060,Godowa-SF_Ivory-NF_Ivory,Godowa,Upper Sprague,Summer (Jul-Sep),141.08,79.57,9.6,43.8,13.87,1.11,1956.7,1171.8,1.331,6.451,11.63,1.38,1640.7,1010.1,1.116,5.561,40.2,1.95,5670.7,3318,3.857,18.266,23.13,-1.93,3263.7,1721.7,2.22,9.478,203.89,-44.75,28763.8,13469.7,19.566,74.152,63.33,0.01,8934.4,5039.7,6.077,27.744,5218.97,53.71,750294.4,403674.7,510.36,2222.281
SR0070,Sycan,Sycan,Sycan,Summer (Jul-Sep),15.57,15.57,1.08,1.08,14.13,,220,220,0.153,0.153,43.84,,682.6,682.6,0.474,0.474,24.25,,377.6,377.6,0.262,0.262,23.15,,360.5,360.5,0.25,0.25,351.8,,5477.7,5477.7,3.802,3.802,47.4,,738.1,738.1,0.512,0.512,1755.8,,28944.2,28944.2,20.092,20.092
SR0080,Lone_Pine-Godowa-Sycan,Lone_Pine,Middle Sprage,Summer (Jul-Sep),139.78,-16.87,3.79,-2.16,12.07,-1.83,1686.5,-490.2,0.457,-0.627,10,-4.84,1397.3,-926,0.378,-1.184,26.68,-11.93,3728.8,-2319.5,1.01,-2.966,23.01,-0.13,3215.9,-408.3,0.871,-0.522,279.11,60.52,39013.7,4772.2,10.565,6.102,49.68,-12.06,6944.6,-2727.9,1.881,-3.488,1647.51,-3215.2,245012,-534226.6,66.349,-683.078
SR0090,Power-Lone_Pine,Power,Lower Sprague,Summer (Jul-Sep),155.99,16.21,3.78,3.77,14.38,2.31,2242.5,556,0.544,1.294,10.08,0.09,1573,175.7,0.382,0.409,32.12,5.44,5010.2,1281.4,1.215,2.982,21.99,-1.02,3430.3,214.4,0.832,0.499,285.07,5.97,44467.8,5454.1,10.786,12.691,54.11,4.43,8440.4,1495.8,2.047,3.481,2326.1,678.59,382777.1,137765,92.85,320.561
SR0140,NF_Ivory-NF,NF_Ivory,Lower NF,Summer (Jul-Sep),44.87,-6.57,8.38,-1.89,12.55,-0.05,563,-85,1.052,-0.244,10.28,-5.46,461.2,-348.5,0.862,-1,38.53,0.88,1728.8,-207.9,3.229,-0.597,20.86,5.81,935.9,162,1.748,0.465,171.56,64.86,7697.8,2208.7,14.38,6.338,59.39,6.7,2664.7,-45.9,4.978,-0.132,4539.01,2442.78,228410.6,116990.5,426.676,335.723
SR0150,SF_Ivory-SF,SF_Ivory,Lower SF,Summer (Jul-Sep),16.64,1.95,2.21,0.41,13.33,0.26,221.9,29.8,0.295,0.063,10.18,-0.3,169.4,15.4,0.225,0.033,37.49,11.97,623.9,249.1,0.828,0.526,36.42,20.98,606.1,379.3,0.805,0.801,456.45,330.17,7596.3,5741.3,10.086,12.122,73.91,33.01,1230,629.3,1.633,1.329,7042.83,4574,118209.1,81611.3,156.952,172.317
