"SEASON","N_DAY","N_YEAR","PERIOD","SITE_NAME","AREA_KM2","TERM","VAR","VALUE"
"Annual",1826,5,"2010-2014","Lone_Pine",3692.78910000001,"C","RO",86.9179190230559
"Annual",1826,5,"2010-2014","Godowa",1470.1266,"C","RO",87.5772594529352
"Annual",1826,5,"2010-2014","Sycan",1440.5751,"C","RO",46.593719242994
"Annual",1826,5,"2010-2014","SF_Ivory",753.1524,"C","RO",69.6241960420762
"Annual",1826,5,"2010-2014","SF",279.5418,"C","RO",34.3850646928947
"Annual",1826,5,"2010-2014","NF_Ivory",535.3254,"C","RO",90.3967894228907
"Annual",1826,5,"2010-2014","NF",186.8526,"C","RO",34.3269593688106
"Annual",1826,5,"2010-2014","Power",4122.55080000001,"Q","BRO",70.1321470344342
"Annual",1826,5,"2010-2014","Lone_Pine",3692.78910000001,"Q","BRO",135.728939045741
"Annual",1826,5,"2010-2014","Godowa",1470.1266,"Q","BRO",63.4708980298131
"Annual",1826,5,"2010-2014","Sycan",1440.5751,"Q","BRO",63.65958638392
"Annual",1826,5,"2010-2014","SF_Ivory",753.1524,"Q","BRO",39.3078924704238
"Annual",1826,5,"2010-2014","SF",279.5418,"Q","BRO",23.6673637350189
"Annual",1826,5,"2010-2014","NF_Ivory",535.3254,"Q","BRO",16.6222978195867
"Annual",1826,5,"2010-2014","NF",186.8526,"Q","BRO",26.8950891909817
"Annual",1826,5,"2010-2014","Power",4122.55080000001,"C","BRO",34.3541574132182
"Annual",1826,5,"2010-2014","Lone_Pine",3692.78910000001,"C","BRO",34.3541574132182
"Annual",1826,5,"2010-2014","Godowa",1470.1266,"C","BRO",34.3541574132182
"Annual",1826,5,"2010-2014","Sycan",1440.5751,"C","BRO",34.3541574132182
"Annual",1826,5,"2010-2014","SF_Ivory",753.1524,"C","BRO",34.3541574132182
"Annual",1826,5,"2010-2014","SF",279.5418,"C","BRO",34.3541574132182
"Annual",1826,5,"2010-2014","NF_Ivory",535.3254,"C","BRO",34.3541574132182
"Annual",1826,5,"2010-2014","NF",186.8526,"C","BRO",34.3541574132182
"Annual",1826,5,"2010-2014","Power",4122.55080000001,"L","BRO",2.40933081894792
"Annual",1826,5,"2010-2014","Lone_Pine",3692.78910000001,"L","BRO",4.66285333750648
"Annual",1826,5,"2010-2014","Godowa",1470.1266,"L","BRO",2.18048922207452
"Annual",1826,5,"2010-2014","Sycan",1440.5751,"L","BRO",2.18697145149355
"Annual",1826,5,"2010-2014","SF_Ivory",753.1524,"L","BRO",1.35038952551079
"Annual",1826,5,"2010-2014","SF",279.5418,"L","BRO",0.813072339308732
"Annual",1826,5,"2010-2014","NF_Ivory",535.3254,"L","BRO",0.571045035863474
"Annual",1826,5,"2010-2014","NF",186.8526,"L","BRO",0.923958127709527
"Annual",1826,5,"2010-2014","Power",4122.55080000001,"Q","BACK",371.510695481207
"Annual",1826,5,"2010-2014","Lone_Pine",3692.78910000001,"Q","BACK",371.823706968435
"Annual",1826,5,"2010-2014","Godowa",1470.1266,"Q","BACK",262.899433055422
"Annual",1826,5,"2010-2014","Sycan",1440.5751,"Q","BACK",82.4398520141343
"Annual",1826,5,"2010-2014","SF_Ivory",753.1524,"Q","BACK",72.3969319141347
"Annual",1826,5,"2010-2014","SF",279.5418,"Q","BACK",45.1305244552638
"Annual",1826,5,"2010-2014","NF_Ivory",535.3254,"Q","BACK",98.8977472471922
"Annual",1826,5,"2010-2014","NF",186.8526,"Q","BACK",79.6586926282504
"Annual",1826,5,"2010-2014","Power",4122.55080000001,"L","BACK",20.4920437257543
"Annual",1826,5,"2010-2014","Lone_Pine",3692.78910000001,"L","BACK",18.8285394128681
"Annual",1826,5,"2010-2014","Godowa",1470.1266,"L","BACK",14.1462013236111
"Annual",1826,5,"2010-2014","Sycan",1440.5751,"L","BACK",3.31378738930641
"Annual",1826,5,"2010-2014","SF_Ivory",753.1524,"L","BACK",3.33573189213345
"Annual",1826,5,"2010-2014","SF",279.5418,"L","BACK",2.10086198252343
"Annual",1826,5,"2010-2014","NF_Ivory",535.3254,"L","BACK",5.50757200151981
"Annual",1826,5,"2010-2014","NF",186.8526,"L","BACK",4.08977433394565
"Annual",1826,5,"2010-2014","Power",4122.55080000001,"C","BACK",55.1586911897961
"Annual",1826,5,"2010-2014","Lone_Pine",3692.78910000001,"C","BACK",50.6383510787453
"Annual",1826,5,"2010-2014","Godowa",1470.1266,"C","BACK",53.8084131989318
"Annual",1826,5,"2010-2014","Sycan",1440.5751,"C","BACK",40.1964257376185
"Annual",1826,5,"2010-2014","SF_Ivory",753.1524,"C","BACK",46.0755974588777
"Annual",1826,5,"2010-2014","SF",279.5418,"C","BACK",46.5507992180754
"Annual",1826,5,"2010-2014","NF_Ivory",535.3254,"C","BACK",55.689559720241
"Annual",1826,5,"2010-2014","NF",186.8526,"C","BACK",51.3412183781591
"Annual",1826,5,"2010-2014","Power",4122.55080000001,"Q","ANTH",371.510695481207
"Annual",1826,5,"2010-2014","Lone_Pine",3692.78910000001,"Q","ANTH",371.823706968435
"Annual",1826,5,"2010-2014","Godowa",1470.1266,"Q","ANTH",262.899433055422
"Annual",1826,5,"2010-2014","Sycan",1440.5751,"Q","ANTH",82.4398520141343
"Annual",1826,5,"2010-2014","SF_Ivory",753.1524,"Q","ANTH",72.3969319141347
"Annual",1826,5,"2010-2014","SF",279.5418,"Q","ANTH",45.1305244552638
"Annual",1826,5,"2010-2014","NF_Ivory",535.3254,"Q","ANTH",98.8977472471922
"Annual",1826,5,"2010-2014","NF",186.8526,"Q","ANTH",79.6586926282504
"Annual",1826,5,"2010-2014","Power",4122.55080000001,"L","ANTH",6.18706738546949
"Annual",1826,5,"2010-2014","Lone_Pine",3692.78910000001,"L","ANTH",7.1344235955565
"Annual",1826,5,"2010-2014","Godowa",1470.1266,"L","ANTH",3.37811808239321
"Annual",1826,5,"2010-2014","Sycan",1440.5751,"L","ANTH",0.779165443603942
"Annual",1826,5,"2010-2014","SF_Ivory",753.1524,"L","ANTH",1.38639088585084
"Annual",1826,5,"2010-2014","SF",279.5418,"L","ANTH",0.000731493830163465
"Annual",1826,5,"2010-2014","NF_Ivory",535.3254,"L","ANTH",0.931557319858277
"Annual",1826,5,"2010-2014","NF",186.8526,"L","ANTH",-0.000731493830163465
"Annual",1826,5,"2010-2014","Power",4122.55080000001,"C","ANTH",16.6538069044165
"Annual",1826,5,"2010-2014","Lone_Pine",3692.78910000001,"C","ANTH",19.1876511955763
"Annual",1826,5,"2010-2014","Godowa",1470.1266,"C","ANTH",12.8494688753515
"Annual",1826,5,"2010-2014","Sycan",1440.5751,"C","ANTH",9.45132026038031
"Annual",1826,5,"2010-2014","SF_Ivory",753.1524,"C","ANTH",19.1498568958026
"Annual",1826,5,"2010-2014","SF",279.5418,"C","ANTH",0.0162084052643476
"Annual",1826,5,"2010-2014","NF_Ivory",535.3254,"C","ANTH",9.41939878094367
"Annual",1826,5,"2010-2014","NF",186.8526,"C","ANTH",-0.00918285005727104
