use_catego,AreaSqKM,SITE
3,0.829184267578125,SR0050
3,19.456193294433593,SR0060
3,93.746653671386724,SR0070
3,88.404629056640630,SR0080
3,18.009973071777345,SR0090
3,11.315772324218750,SR0140
3,46.172663951660155,SR0150
3,0.066390339843750,WR1000
