STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MXPN,MNPN,EVAP,MDEV,DAEV,MDPR,MDSF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040602,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,239,56,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040603,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,267,83,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040604,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,272,78,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040605,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,289,78,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040606,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,222,28,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040607,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,167,28,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040608,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23,-9999,-9999,128,0,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040609,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,144,0,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040610,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51,-9999,-9999,106,22,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040611,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,161,6,-9999
