INDEX,DATE,GPS_N,GPS_W,Site ID,SITE,JD,CJD,MO,DAY,YR,TIME,Q_CFS,STAFF_GAGE_FT,TEMP_C,TEMP_CALC,TEMP_ACT,TEMP_DIFF,COND_MS_CM,COND_US_CM,COND_CALC,COND_ACT,COND_DIFF,DO_MGL,DO_CALC,DO_ACT,DO_DIFF,PH,PH_CALC,PH_ACT,PH_DIFF,PSAT_PERC,PSAT_CALC,PSAT_ACT,PSAT_DIFF,TP_MGL,TP_DUP,TP_DIFF,TP_RPD,TP_PASS_FAIL,PO4_MGL,PO4_DUP,PO4_DIFF,PO4_RPD,PO4_PASS_FAIL,NH4_MGL,NH4_DUP,NH4_DIFF,NH4_RPD,NH4_PASS_FAIL,NO3NO2_MGL,NO3NO2_DUP,NO3NO2_DIFF,NO3NO2_RPD,NO3NO2_PASS_FAIL,TN_MGL,TN_DUP,TN_DIFF,TN_RPD,TN_PASS_FAIL,CL_MGL,CL_DUP,CL_DIFF,CL_RPD,CL_PASS_FAIL,TSS_MGL,TSS_DUP,TSS_DIFF,TSS_RPD,TSS_PASS_FAIL,CHLA_UGL,CHLA_DUP,CHLA_DIFF,CHLA_RPD,CHLA_PASS_FAIL,PHAE_UGL,PHAE_DUP,PHAE_DIFF,PHAE_RPD,PHAE_PASS_FAIL,BOD5_MGL,BOD5_DUP,BOD5_DIFF,BOD5_QAQC,BOD5_PASS_FAIL,NOTES
15,7/2/01,"N42-34'04.9""",W121-51'52.3,Sprague R @ Kircher's Bridge,WR1000,184,184,7,2,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.041,,,,,0.026,,,,,0.018,,,,,0.012,,,,,0.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7/18/01,"N42-34'04.9""",W121-51'52.3,Sprague R @ Kircher's Bridge,WR1000,199,199,7,18,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.047,,,,,0.029,,,,,0.005,,,,,0.005,,,,,0.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7/30/01,"N42-34'04.9""",W121-51'52.3,Sprague R @ Kircher's Bridge,WR1000,212,212,7,30,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.061,,,,,0.032,,,,,0.005,,,,,0.010,,,,,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,7/31/01,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,213,213,7,31,2001,1130,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,8/14/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,227,227,8,14,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.067,0.066,0.001,1.504,pass,0.050,0.048,0.002,4.082,pass,0.005,0.005,0.000,0.000,pass,0.005,0.005,0.000,0.000,pass,0.518,0.452,0.066,13.608,pass,,,,,,,,,,,,,,,,,,,,,,,,,,
20,8/29/01,"N42-34'04.9""","W121-51'52.3""",Sprague R @ Kircher's Bridge,WR1000,241,241,8,29,2001,,,,,,,,,,,,,,,,,,,,,,,,,0.066,,,,,0.047,,,,,0.015,,,,,0.010,,,,,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8/29/01,N42-27.198,W121-15.938,transect 1,SR0800,241,241,8,29,2001,1320,,,19.17,,,,0.1240,124.0,65.0,71.0,6.0,9.22,7.25,7.12,0.13,8.59,10.04,10.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,8/29/01,"N 42-26'58.8""","W 121-14'37.0""",Kirk Springs,SR0500,241,241,8,29,2001,1524,,,14.91,,,,0.0840,84.0,65.0,71.0,6.0,9.91,7.25,7.12,0.13,8.93,10.04,10.01,0.03,104.8,100.0,98.0,2.0,0.062,,,,,0.050,,,,,0.005,,,,,0.029,,,,,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,8/29/01,"N 42-27'05.3""","W 121-15'32.8""",Brown Springs,SR0600,241,241,8,29,2001,1425,,,17.45,,,,0.1280,128.0,65.0,71.0,6.0,10.49,7.25,7.12,0.13,8.60,10.04,10.01,0.03,,,,,0.074,,,,,0.059,,,,,0.005,,,,,0.012,,,,,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,8/30/01,N42-33.656,W121-39.158,transect 2,SR0801,242,242,8,30,2001,1315,,,23.04,,,,0.1470,147.0,,,,8.12,,,,9.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
