INDEX,DATE,GPS_N,GPS_W,Site ID,SITE,JD,CJD,MO,DAY,YR,TIME,Q_CFS,STAFF_GAGE_FT,TEMP_C,TEMP_CALC,TEMP_ACT,TEMP_DIFF,COND_MS_CM,COND_US_CM,COND_CALC,COND_ACT,COND_DIFF,DO_mgl,DO_CALC,DO_ACT,DO_DIFF,PH,PH_CALC,PH_ACT,PH_DIFF,PSAT_perc,PSAT_CALC,PSAT_ACT,PSAT_DIFF,TP_MGL,TP_DUP,TP_SPIKE,TP_DIFF,TP_RPD,TP_PASS_FAIL,PO4_MGL,PO4_DUP,PO4_SPIKE,PO4_DIFF,PO4_RPD,PO4_PASS_FAIL,NH4_MGL,NH4_DUP,NH4_SPIKE,NH4_DIFF,NH4_RPD,NH4_PASS_FAIL,NO3NO2_MGL,NO3NO2_DUP,NO3NO2_SPIKE,NO3NO2_DIFF,NO3NO2_RPD,NO3NO2_PASS_FAIL,NO2_MGL,NO2_DUP,NO2_SPIKE,NO2_DIFF,NO2_RPD,NO2_PASS_FAIL,TN_MGL,TN_DUP,TN_SPIKE,TN_DIFF,TN_RPD,TN_PASS_FAIL,CL_MGL,CL_DUP,CL_SPIKE,CL_DIFF,CL_RPD,CL_PASS_FAIL,SIO2+MGL,SIO2_DUP,SIO2_SPIKE,SIO2_DIFF,SIO2_RPD,SIO2_PASS_FAIL,TSS_MGL,TSS_DUP,TSS_DIFF,TSS_RPD,TSS_PASS_FAIL,TURB_MGL,TURB_DUP,TURB_DIFF,TURB_RPD,TURB_PASS_FAIL,CHLA_UGL,CHLA_DUP,CHLA_DIFF,CHLA_RPD,CHLA_PASS_FAIL,PHAE_UGL,PHAE_DUP,PHAE_DIFF,PHAE_RPD,PHAE_PASS_FAIL,Notes
11,4/4/01,"N42-29'08.5""","W121-20'55.4""",Sycan R @ Drews Rd,SR0070,94,94,4,4,2001,1310,78.3,,6.66,,,,0.073,73,147,148,1,12.25,,,,7.63,10.1,10.08,0.02,110.1,,,,0.055,,,,,,0.024,,,,,,0.023,,,,,,0.022,,,,,,,,,,,,0.491,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4/5/01,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,95,95,4,5,2001,1440,426,1.98,8.57,,,,0.09,90,147,127,20,10.86,,,,7.62,10.06,10.08,0.02,106.5,,,,0.068,0.068,,0,0,pass,0.037,0.037,,0,0,pass,0.022,0.023,,0.001,4.444444444,pass,0.022,0.019,,0.003,14.63414634,pass,,,,,,,0.306,0.305,,0.001,0.327332242,pass,0.6,0.6,,0,0,pass,,,,0,#DIV/0!,pass,,,,,,,,,,,,,,,,,,,,,
13,4/4/01,"N42-35'04.7""","W121-50'30.7""",Sprague R @ Power Plant,SR0090,94,94,4,4,2001,1120,558,,6.99,,,,0.092,92,147,148,1,10.33,,,,7.63,10.1,10.08,0.02,98.5,,,,0.076,,,,,,0.041,,,,,,0.024,,,,,,0.017,,,,,,,,,,,,0.316,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4/17/01,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,107,107,4,17,2001,1115,341,1.76,9.31,,,,0.105,105,147,143,4,9.93,,,,7.57,10.09,10.07,0.02,98.1,,,,0.063,0.065,,0.002,3.125,pass,0.034,0.036,,0.002,5.714285714,pass,0.023,0.019,,0.004,19.04761905,pass,0.005,0.005,,0,0,pass,,,,,,,0.242,0.253,,0.011,4.444444444,pass,1.1,0.6,,0.5,58.82352941,pass,,,,0,#DIV/0!,pass,,,,,,,,,,,,,,,,,,,,,
15,4/17/01,"N42-35'04.7""","W121-50'30.7""",Sprague R @ Power Plant,SR0090,107,107,4,17,2001,919,324,,9.39,,,,0.103,103,147,143,4,9.54,,,,7.86,10.09,10.07,0.02,94.3,,,,0.073,,,,,,0.041,,,,,,0.022,,,,,,0.005,,,,,,,,,,,,0.251,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4/19/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,109,109,4,19,2001,1115,91.7,1.05,4.31,,,,0.048,48,147,146,1,12.64,,,,7.97,10.08,10.08,0,104.2,,,,0.053,0.054,,0.001,1.869158879,pass,0.031,0.032,,0.001,3.174603175,pass,0.005,0.005,,0,0,pass,0.005,0.005,,0,0,pass,,,,,,,0.307,0.127,,0.18,82.94930876,fail,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4/19/01,"N42-22'33.8""","W120-58'10.0""",SF Sprague @ Picnic Area,SR0050,109,109,4,19,2001,945,89.4,,4,,,,0.07,70,147,146,1,11.75,,,,8.08,10.08,10.08,0,102.7,,,,0.062,,,,,,0.02,,,,,,0.005,,,,,,0.005,,,,,,,,,,,,0.236,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4/19/01,"N42-27'37.4""","W121-16'11.5""",Sprague R @ Godowa Rd,SR0060,109,109,4,19,2001,1416,377,,10.58,,,,0.087,87,147,146,1,10.47,,,,8.17,10.08,10.08,0,107.2,,,,0.067,,,,,,0.036,,,,,,0.005,,,,,,0.005,,,,,,,,,,,,0.19,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transect 07
19,4/19/01,"N42-29'08.5""","W121-20'55.4""",Sycan R @ Drews Rd,SR0070,109,109,4,19,2001,1305,55.7,,10.15,,,,0.115,115,147,146,1,10.65,,,,7.93,10.08,10.08,0,105.9,,,,0.061,,,,,,0.029,,,,,,0.022,,,,,,0.005,,,,,,,,,,,,0.387,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transect 06
20,5/16/01,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,136,136,5,16,2001,1300,362,1.8,14.4,,,,0.128,128,147,164,17,7.96,,,,8.83,10.05,10.06,0.01,75.5,,,,0.061,,,,,,0.048,,,,,,0.07,,,,,,0.005,,,,,,,,,,,,0.369,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
