INDEX,DATE,GPS,GPS,Site ID,SITE,JD,CJD,MO,DAY,YR,TIME,Q_CFS,STAFF_GAGE_FT,TEMP_C,TEMP_CALC,TEMP_ACT,TEMP_DIFF,COND_MS_CM,COND_US_CM,COND_CALC,COND_ACT,COND_DIFF,DO_MGL,DO_CALC,DO_ACT,DO_DIFF,PH,PH_CALC,PH_ACT,PH_DIFF,PSAT_PERC,PSAT_CALC,PSAT_ACT,PSAT_DIFF,TP_MGL,TP_DUP,TP_DIFF,TP_RPD,TP_PASS_FAIL,PO4_MGL,PO4_DUP,PO4_DIFF,PO4_RPD,PO4_PASS_FAIL,NH4_MGL,NH4_DUP,NH4_DIFF,NH4_RPD,NH4_PASS_FAIL,NO3NO2_MGL,NO3NO2_DUP,NO3NO2_DIFF,NO3NO2_RPD,NO3NO2_PASS_FAIL,TN_MGL,TN_DUP,TN_DIFF,TN_RPD,TN_PASS_FAIL,CL_MGL,CL_DUP,CL_DIFF,CL_RPD,CL_PASS_FAIL,TSS_MGL,TSS_DUP,TSS_DIFF,TSS_RPD,TSS_PASS_FAIL,CHLA_UGL,CHLA_DUP,CHLA_DIFF,CHLA_RPD,CHLA_PASS_FAIL,PHAE_UGL,PHAE_DUP,PHAE_DIFF,PHAE_RPD,PHAE_PASS_FAIL,BOD5_MGL,BOD5_DUP,BOD5_DIFF,BOD5_QAQC,BOD5_PASS_FAIL,NOTES
14,8/8/01,"N42-22'33.8""","W120-58'10.0""",SF Sprague @ Picnic Area,SR0050,220,220,8,8,2001,2000,,,22.80,,,,0.1080,108.0,147.0,155.0,8.0,5.90,,,,8.45,10.02,10.12,0.10,68.0,,,,0.051,,,,,0.041,,,,,0.014,,,,,0.010,,,,,0.050,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,,
15,8/8/01,"N42-27'37.4""","W121-16'11.5""",Sprague R @ Godowa Rd,SR0060,220,220,8,8,2001,1300,,,22.16,,,,0.1216,121.6,147.0,143.0,4.0,9.52,7.03,7.53,0.50,8.51,10.00,10.10,0.10,126.9,100.0,106.1,6.1,0.066,,,,,0.054,,,,,0.035,,,,,0.011,,,,,0.173,,,,,1.60,,,,,3.67,,,,,0.80,,,,,1.40,,,,,1.56,,,,,
16,8/8/01,"N42-27'37.4""","W121-16'11.5""",Sprague R @ Godowa Rd,SR0060,220,220,8,8,2001,1400,,,22.86,,,,0.1218,121.8,147.0,143.0,4.0,10.07,7.03,7.53,0.50,8.57,10.00,10.10,0.10,136.6,100.0,106.1,6.1,0.063,,,,,0.048,,,,,0.026,,,,,0.031,,,,,0.269,,,,,1.10,,,,,2.25,,,,,0.05,,,,,4.30,,,,,2.60,,,,,
17,8/8/01,"N42-27'37.4""","W121-16'11.5""",Sprague R @ Godowa Rd,SR0060,220,220,8,8,2001,1630,,,23.20,,,,0.1218,121.8,147.0,143.0,4.0,10.13,7.03,7.53,0.50,8.74,10.00,10.10,0.10,138.1,100.0,106.1,6.1,0.069,,,,,0.055,,,,,0.015,,,,,0.005,,,,,0.115,,,,,1.50,,,,,2.88,,,,,0.50,,,,,1.50,,,,,1.22,,,,,
18,8/8/01,"N42-27'37.4""","W121-16'11.5""",Sprague R @ Godowa Rd,SR0060,220,220,8,8,2001,1745,,,22.62,,,,0.1221,122.1,147.0,143.0,4.0,9.83,7.03,7.53,0.50,8.77,10.00,10.10,0.10,133.1,100.0,106.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,8/8/01,"N42-27'37.4""","W121-16'11.5""",Sprague R @ Godowa Rd,SR0060,220,220,8,8,2001,1850,,,21.96,,,,0.1223,122.3,147.0,143.0,4.0,9.94,7.03,7.53,0.50,8.81,10.00,10.10,0.10,132.5,100.0,106.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,8/8/01,"N42-29'08.5""","W121-20'55.4""",Sycan R @ Drews Rd,SR0070,220,220,8,8,2001,1330,,,23.49,,,,0.1189,118.9,147.0,143.0,4.0,10.53,7.03,7.53,0.50,9.01,10.00,10.10,0.10,144.5,100.0,106.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8/8/01,"N42-29'08.5""","W121-20'55.4""",Sycan R @ Drews Rd,SR0070,220,220,8,8,2001,1430,,,24.45,,,,0.1194,119.4,147.0,143.0,4.0,12.25,7.03,7.53,0.50,8.98,10.00,10.10,0.10,171.1,100.0,106.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,8/8/01,"N42-29'08.5""","W121-20'55.4""",Sycan R @ Drews Rd,SR0070,220,220,8,8,2001,1600,,,25.89,,,,0.1193,119.3,147.0,143.0,4.0,12.16,7.03,7.53,0.50,9.11,10.00,10.10,0.10,174.5,100.0,106.1,6.1,0.067,0.071,0.004,5.797,pass,0.046,0.048,0.002,4.255,pass,0.028,0.025,0.003,11.321,pass,0.019,0.026,0.007,31.11,pass,0.301,0.264,0.037,13.097,pass,1.10,0.90,0.20,20.00,pass,5.00,5.50,0.50,9.52,pass,1.10,0.80,0.30,31.58,fail,1.50,2.40,0.90,46.15,fail,2.80,2.46,0.34,12.93,,
23,8/8/01,"N42-29'08.5""","W121-20'55.4""",Sycan R @ Drews Rd,SR0070,220,220,8,8,2001,1720,,,26.13,,,,0.1194,119.4,147.0,143.0,4.0,12.29,7.03,7.53,0.50,9.10,10.00,10.10,0.10,176.2,100.0,106.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,8/8/01,"N42-29'08.5""","W121-20'55.4""",Sycan R @ Drews Rd,SR0070,220,220,8,8,2001,1800,,,26.03,,,,0.1192,119.2,147.0,143.0,4.0,11.79,7.03,7.53,0.50,9.12,10.00,10.10,0.10,169.2,100.0,106.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,8/8/01,"N42-29'08.5""","W121-20'55.4""",Sycan R @ Drews Rd,SR0070,220,220,8,8,2001,1900,,,25.68,,,,0.1187,118.7,147.0,143.0,4.0,11.79,7.03,7.53,0.50,9.13,10.00,10.10,0.10,168.1,100.0,106.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,8/8/01,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,220,220,8,8,2001,1322,,,23.37,,,,0.1530,153.0,147.0,147.0,0.0,8.00,7.57,7.42,0.15,9.09,10.02,10.07,0.05,107.6,100.0,103.6,3.6,0.057,0.057,0.000,0.000,pass,0.036,0.034,0.002,5.714,pass,0.027,0.029,0.002,7.143,pass,0.005,0.005,0.000,0.00,pass,0.354,0.382,0.028,7.609,pass,1.40,1.50,0.10,6.90,pass,,,,,,,,,,,,,,,,,,,,,
27,8/8/01,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,220,220,8,8,2001,1424,,,23.93,,,,0.1520,152.0,147.0,147.0,0.0,8.87,7.57,7.42,0.15,9.16,10.02,10.07,0.05,121.4,100.0,103.6,3.6,0.057,0.059,0.002,3.448,pass,0.035,0.037,0.002,5.556,pass,0.026,0.026,0.000,0.000,pass,0.005,0.005,0.000,0.00,pass,0.347,0.354,0.007,1.997,pass,1.60,1.60,0.00,0.00,pass,,,,,,,,,,,,,,,,,,,,,
28,8/8/01,"N42-35'04.7""","W121-50'30.7""",Sprague R @ Power Plant,SR0090,220,220,8,8,2001,1300,,,23.19,,,,0.1170,117.0,147.0,147.0,0.0,10.13,7.57,7.42,0.15,9.31,10.02,10.07,0.05,136.7,100.0,103.6,3.6,0.060,0.057,0.003,5.128,pass,0.043,0.042,0.001,2.353,pass,0.025,0.018,0.007,32.558,pass,0.005,0.005,0.000,0.00,pass,0.226,0.260,0.034,13.992,pass,1.40,1.30,0.10,7.41,pass,,,,,,,,,,,,,,,,,,,,,
29,8/8/01,"N42-35'04.7""","W121-50'30.7""",Sprague R @ Power Plant,SR0090,220,220,8,8,2001,1400,,,24.40,,,,0.1180,118.0,147.0,147.0,0.0,10.41,7.57,7.42,0.15,9.49,10.02,10.07,0.05,145.1,100.0,103.6,3.6,0.063,0.064,0.001,1.575,pass,0.048,0.045,0.003,6.452,pass,0.027,0.028,0.001,3.636,pass,0.005,0.005,0.000,0.00,pass,0.258,0.262,0.004,1.538,pass,1.20,,,,,,,,,,,,,,,,,,,,,,,,,
30,8/8/01,"N42-35'04.7""","W121-50'30.7""",Sprague R @ Power Plant,SR0090,220,220,8,8,2001,1505,,,25.41,,,,0.1200,120.0,147.0,147.0,0.0,10.57,7.57,7.42,0.15,9.66,10.02,10.07,0.05,149.2,100.0,103.6,3.6,0.062,,,,,0.043,,,,,0.023,,,,,0.005,,,,,0.233,,,,,1.40,,,,,,,,,,,,,,,,,,,,,,,,,
31,8/8/01,"N42-35'04.7""","W121-50'30.7""",Sprague R @ Power Plant,SR0090,220,220,8,8,2001,1602,,,25.78,,,,0.1220,122.0,147.0,147.0,0.0,10.01,7.57,7.42,0.15,9.75,10.02,10.07,0.05,142.6,100.0,103.6,3.6,0.063,,,,,0.044,,,,,0.024,,,,,0.005,,,,,0.255,,,,,1.30,,,,,,,,,,,,,,,,,,,,,,,,,
32,8/8/01,"N42-35'04.7""","W121-50'30.7""",Sprague R @ Power Plant,SR0090,220,220,8,8,2001,1703,,,26.26,,,,0.1220,122.0,147.0,147.0,0.0,10.18,7.57,7.42,0.15,9.74,10.02,10.07,0.05,146.2,100.0,103.6,3.6,0.067,,,,,0.047,,,,,0.030,,,,,0.011,,,,,0.296,,,,,1.20,,,,,,,,,,,,,,,,,,,,,,,,,
33,8/8/01,"N42-35'04.7""","W121-50'30.7""",Sprague R @ Power Plant,SR0090,220,220,8,8,2001,1800,,,26.00,,,,0.1220,122.0,147.0,147.0,0.0,9.40,7.57,7.42,0.15,9.73,10.02,10.07,0.05,135.0,100.0,103.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,8/8/01,"N42-35'04.7""","W121-50'30.7""",Sprague R @ Power Plant,SR0090,220,220,8,8,2001,1900,,,25.46,,,,0.1210,121.0,147.0,147.0,0.0,8.54,7.57,7.42,0.15,9.68,10.02,10.07,0.05,118.4,100.0,103.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
