STATION_ID,DESCRIPTION,AGENCY,LAT,LON,START,DRAINAGE_AREA_MI2,SITE_NAME
11494950,S FK SPRAGUE R AT SPRAGUE R PARK NR BLY,OWRD,42_22_24.488,-120_58_09.901,10/1/2009,,SF
11495600,S FK SPRAGUE R BL FISHHOLE CR NR BLY,OWRD,42_25_11.809,-121_03_23.209,8/7/2008,,SF_Bly
11495900,"N FK SPRAGUE R AB SRIC CN NR BLY, OR",OWRD,42_29_47.500,-121_00_24.930,7/22/2008,,NF
11497500,"SPRAGUE R NR BEATTY, OR",OWRD,42_26_51.306,-121_14_18.557,4/19/1912,513,Beatty
11497550,SPRAGUE R BL BROWN CR NR BEATTY,OWRD,42_27_35.230,-121_16_16.619,10/1/2008,,Godowa
11499100,"SYCAN R BL SNAKE CR NR BEATTY, OR",OWRD,42_29_12.003,-121_16_42.008,10/1/1973,568,Sycan
11500500,SPRAGUE R AT LONE PINE,OWRD,42_33_06.588,-121_37_10.812,6/18/2009,,Lone_Pine
10384000,"CHEWAUCAN R NR PAISLEY, OR",OWRD,42_41_05.834,-120_34_11.827,4/3/1912,275,Chewaucan
