Timing is off.
year,month,site,ppt
1981,1,SR0040,68.2053106610112
1981,1,SR0050,57.4449976947477
1981,1,SR0060,41.1229704725517
1981,1,SR0070,49.2884846002724
1981,1,SR0080,42.9190159331325
1981,1,SR0090,48.2592981351927
1981,1,SR0140,47.6497826934872
1981,1,SR0150,47.05555614817
1981,1,WR1000,54.4071934812956
1981,2,SR0040,99.0394006993073
1981,2,SR0050,62.8292494865678
1981,2,SR0060,48.7603389832018
1981,2,SR0070,78.9735555288078
1981,2,SR0080,59.9999591327721
1981,2,SR0090,61.2100617447511
1981,2,SR0140,61.9751673423688
1981,2,SR0150,50.5080677935805
1981,2,WR1000,59.8223075809668
1981,3,SR0040,118.609386735564
1981,3,SR0050,85.7420114020288
1981,3,SR0060,52.587413794124
1981,3,SR0070,77.2570998142364
1981,3,SR0080,51.8023169392435
1981,3,SR0090,59.4603148592159
1981,3,SR0140,70.9480550719764
1981,3,SR0150,66.7793370347533
1981,3,WR1000,64.8349443306888
1981,4,SR0040,57.4968260600004
1981,4,SR0050,41.9571306701588
1981,4,SR0060,30.9370902080231
1981,4,SR0070,39.0908915826707
1981,4,SR0080,31.9858738831741
1981,4,SR0090,29.5479322575525
1981,4,SR0140,36.810861794389
1981,4,SR0150,34.7872395256772
1981,4,WR1000,28.3675258991467
1981,5,SR0040,35.2555387347581
1981,5,SR0050,40.6396189395373
1981,5,SR0060,38.8854722800943
1981,5,SR0070,42.0463269656794
1981,5,SR0080,41.8325268594333
1981,5,SR0090,49.441266567184
1981,5,SR0140,39.1668154539717
1981,5,SR0150,39.4503465404297
1981,5,WR1000,54.9159477442434
1981,6,SR0040,25.136717621225
1981,6,SR0050,29.2054206543205
1981,6,SR0060,19.5022365811385
1981,6,SR0070,26.6450437146024
1981,6,SR0080,17.9539379936755
1981,6,SR0090,18.3597621262434
1981,6,SR0140,23.2669605775963
1981,6,SR0150,23.4165770995135
1981,6,WR1000,20.0798692551672
1981,7,SR0040,11.6277089200607
1981,7,SR0050,13.3059526759439
1981,7,SR0060,8.66452195473325
1981,7,SR0070,10.3786039256008
1981,7,SR0080,7.48544418031887
1981,7,SR0090,7.01794491544343
1981,7,SR0140,11.7779719021308
1981,7,SR0150,13.5513389367481
1981,7,WR1000,5.27483033691572
1981,8,SR0040,5.38972716287496
1981,8,SR0050,0.957812073276076
1981,8,SR0060,0.00589721749185966
1981,8,SR0070,2.91903337798649
1981,8,SR0080,0.309107593739608
1981,8,SR0090,0.143216520911134
1981,8,SR0140,1.37040770195006
1981,8,SR0150,0.29062423184762
1981,8,WR1000,0
1981,9,SR0040,23.2960152015072
1981,9,SR0050,22.129644036872
1981,9,SR0060,17.5749362733268
1981,9,SR0070,20.0188871613986
1981,9,SR0080,16.5073598593168
1981,9,SR0090,18.2532936832185
1981,9,SR0140,18.8729171322084
1981,9,SR0150,19.8828628669706
1981,9,WR1000,18.8200341868625
1981,10,SR0040,107.63778668135
1981,10,SR0050,76.6826282865105
1981,10,SR0060,53.2151864602457
1981,10,SR0070,79.8914997410559
1981,10,SR0080,57.2573233378182
1981,10,SR0090,64.0055590196118
1981,10,SR0140,68.5768354255426
1981,10,SR0150,62.0780931093876
1981,10,WR1000,68.2231560838089
1981,11,SR0040,231.90423548578
1981,11,SR0050,172.482653639497
1981,11,SR0060,136.729719175739
1981,11,SR0070,185.979158640949
1981,11,SR0080,167.818568826115
1981,11,SR0090,191.432996669578
1981,11,SR0140,159.863827895483
1981,11,SR0150,145.221624039156
1981,11,WR1000,204.381253566975
1981,12,SR0040,222.220031191502
1981,12,SR0050,169.677094651306
1981,12,SR0060,139.184764445868
1981,12,SR0070,179.017271160773
1981,12,SR0080,176.5221445355
1981,12,SR0090,211.636491411364
1981,12,SR0140,161.501186977811
1981,12,SR0150,147.22182349543
1981,12,WR1000,239.366105507485
1982,1,SR0040,122.576832996633
1982,1,SR0050,92.8194984603385
1982,1,SR0060,55.3201256862611
1982,1,SR0070,86.6894767287934
1982,1,SR0080,56.7434165528931
1982,1,SR0090,71.4679979844343
1982,1,SR0140,72.0608823659592
1982,1,SR0150,68.9856200660264
1982,1,WR1000,79.68752244318
1982,2,SR0040,118.449280841348
1982,2,SR0050,80.7620630830239
1982,2,SR0060,65.1977333175001
1982,2,SR0070,102.399877576426
1982,2,SR0080,78.5120463547633
1982,2,SR0090,95.7352192638427
1982,2,SR0140,79.4573013892196
1982,2,SR0150,68.7456624290985
1982,2,WR1000,103.419983056041
1982,3,SR0040,147.213014515398
1982,3,SR0050,96.7182103402284
1982,3,SR0060,60.1804049038373
1982,3,SR0070,95.9170328708652
1982,3,SR0080,69.3933738114239
1982,3,SR0090,86.7559884957188
1982,3,SR0140,83.0811989931549
1982,3,SR0150,72.4760233161354
1982,3,WR1000,99.814634845405
1982,4,SR0040,119.021938757382
1982,4,SR0050,80.2176199636901
1982,4,SR0060,51.9600991346287
1982,4,SR0070,79.5679363049258
1982,4,SR0080,57.0643963128541
1982,4,SR0090,57.4440067495512
1982,4,SR0140,70.0667341680926
1982,4,SR0150,60.8001526310149
1982,4,WR1000,53.2266251377318
1982,5,SR0040,24.7230025956833
1982,5,SR0050,17.2477149673004
1982,5,SR0060,15.3084879879632
1982,5,SR0070,18.9516684930086
1982,5,SR0080,14.053311970561
1982,5,SR0090,11.6367578644803
1982,5,SR0140,17.2240828329314
1982,5,SR0150,15.9484150248045
1982,5,WR1000,10.2810222011997
1982,6,SR0040,54.4205057534938
1982,6,SR0050,50.4243622733819
1982,6,SR0060,43.2790352019649
1982,6,SR0070,54.513109937411
1982,6,SR0080,46.215261206947
1982,6,SR0090,52.7206573299287
1982,6,SR0140,48.3030350495613
1982,6,SR0150,43.7232062825822
1982,6,WR1000,57.3523177605421
1982,7,SR0040,48.1580902186073
1982,7,SR0050,36.0137860717637
1982,7,SR0060,27.3153165996234
1982,7,SR0070,35.8056145719305
1982,7,SR0080,24.8201777522753
1982,7,SR0090,24.413522860664
1982,7,SR0140,37.0386723169945
1982,7,SR0150,35.1669056149958
1982,7,WR1000,23.3028344021581
1982,8,SR0040,9.2916173292737
1982,8,SR0050,9.79038378239341
1982,8,SR0060,8.29447339215781
1982,8,SR0070,10.2275913594369
1982,8,SR0080,6.54916743606674
1982,8,SR0090,8.77937911737075
1982,8,SR0140,10.0036020850643
1982,8,SR0150,10.210085402347
1982,8,WR1000,10.1116060370108
1982,9,SR0040,40.6076606558651
1982,9,SR0050,24.9139566256406
1982,9,SR0060,23.9431424756413
1982,9,SR0070,40.2888327284166
1982,9,SR0080,24.0562211232337
1982,9,SR0090,28.1598884062071
1982,9,SR0140,29.7488858403706
1982,9,SR0150,24.0885760033264
1982,9,WR1000,31.5839535598025
1982,10,SR0040,74.7685183403416
1982,10,SR0050,68.0393989011842
1982,10,SR0060,46.619202165855
1982,10,SR0070,54.0380859349996
1982,10,SR0080,51.0751557156003
1982,10,SR0090,59.7142494215128
1982,10,SR0140,53.4012964264569
1982,10,SR0150,54.7683446623025
1982,10,WR1000,71.7996020852907
1982,11,SR0040,112.138171405257
1982,11,SR0050,81.7665715353887
1982,11,SR0060,54.5143817019183
